instance,answers,derivations,tokens,T_string,T_circuit,repr_win,size_shared,size_perans,compiled_win,t_ours_ms,t_theirs_ms,theirs_form,prob_parity,pwe_maxdiff
drug,2,3,8,9,25,0.4,8,8,1.0,0.0,0.0,flat-SoP,0.0e+00,0.0e+00
prefix-d4xN4,4,4,8,20,29,0.7,20,20,1.0,0.0,0.0,flat-SoP,0.0e+00,0.0e+00
prefix-d4xN8,8,8,12,40,45,0.9,40,40,1.0,0.0,0.1,flat-SoP,0.0e+00,0.0e+00
prefix-d4xN16,16,16,20,80,77,1.0,80,80,1.0,0.1,0.1,flat-SoP,0.0e+00,0.0e+00
prefix-d8xN8,8,8,16,72,61,1.2,72,72,1.0,0.1,0.1,flat-SoP,0.0e+00,0.0e+00
prefix-d8xN16,16,16,24,144,93,1.5,144,144,1.0,0.1,0.5,flat-SoP,0.0e+00,n/a(2^24)
layered-4x2,2,16,14,64,68,0.9,88,88,1.0,0.2,0.3,flat-SoP,0.0e+00,0.0e+00
layered-4x3,3,81,30,324,147,2.2,763,763,1.0,2.0,10.5,flat-SoP,0.0e+00,n/a(2^30)
layered-4x4,4,256,52,1024,256,4.0,4676,4676,1.0,15.6,447.1,flat-SoP,0.0e+00,n/a(2^52)
deep-4x2,2,16,14,64,68,0.9,88,88,1.0,0.2,0.3,flat-SoP,0.0e+00,0.0e+00
deep-8x2,2,256,30,2048,156,13.1,643,643,1.0,7.0,161.3,flat-SoP,0.0e+00,n/a(2^30)
