shape,circuit_triples,graphdb,oxigraph,qlever,millenniumdb
atom,16,OK,OK(pre-1e67021),OK,OK
join,9,OK,OK(pre-1e67021),OK,OK
union,19,OK,OK(pre-1e67021),OK,OK
minus,33,OK,OK(pre-1e67021),OK,OK
minus_disjoint,16,OK,OK(pre-1e67021),OK,OK
minus_union,36,OK,OK(pre-1e67021),OK,OK
minus_p2union,38,OK,OK(pre-1e67021),OK,OK
minus_chain,38,OK,OK(pre-1e67021),OK,OK
optional,49,OK,OK(pre-1e67021),OK,OK
opt_left,60,OK,OK(pre-1e67021),OK,OK
opt_right,33,OK,OK(pre-1e67021),OK,OK
opt_disjoint,62,OK,OK(pre-1e67021),OK,OK
distinct,16,OK,OK(pre-1e67021),OK,OK
sha256_fn,,OK,OK,OK,OK
