system,query,stage,answers,median_ms,min_ms,max_ms,mean_ms,sd_ms,runs
ours,watdiv-Sstar,construct,2,10.3,10.1,15.3,11.4,2.2,5
ours,watdiv-Sstar,compile,2,1.5,1.4,1.6,1.5,0.1,5
ours,watdiv-Sstar,wmc,2,0.0,0.0,0.0,0.0,0.0,5
ours,watdiv-Sstar,total,2,11.8,11.6,16.9,12.9,2.3,5
ours,tpch-Q3,construct,14908,1471.4,1454.3,1482.0,1470.9,10.3,5
ours,tpch-Q3,compile,14908,148.9,147.2,154.6,150.2,3.1,5
ours,tpch-Q3,wmc,14908,35.2,34.7,35.6,35.2,0.4,5
ours,tpch-Q3,total,14908,1654.3,1637.3,1671.8,1656.3,12.9,5
ours,wikidata-WDpath,construct,16,2125.2,2015.6,2130.3,2099.8,48.9,5
ours,wikidata-WDpath,compile,16,1.4,1.4,1.4,1.4,0.0,5
ours,wikidata-WDpath,wmc,16,0.1,0.1,0.1,0.1,0.0,5
ours,wikidata-WDpath,total,16,2126.7,2017.1,2131.8,2101.3,48.9,5
provsql,tpch-Q3,total,14908,1090.6,1047.7,1183.6,1096.3,52.5,5
