query,idx,ntok,obdd_wmc,pwe,obdd_eq_pwe,ddnnf_nodes,d4_wmc,d4_eq_obdd
watdiv-Sstar,0,13,0.436645508,0.436645508,True,171,0.436646,True
watdiv-Sstar,1,13,0.436645508,0.436645508,True,171,0.436646,True
tpch-Q3,0,3,0.125,0.125,True,2,0.125,True
tpch-Q3,1,3,0.125,0.125,True,2,0.125,True
tpch-Q3,2,3,0.125,0.125,True,2,0.125,True
tpch-Q3,3,3,0.125,0.125,True,2,0.125,True
tpch-Q3,4,3,0.125,0.125,True,2,0.125,True
tpch-Q3,5,3,0.125,0.125,True,2,0.125,True
tpch-Q3,6,3,0.125,0.125,True,2,0.125,True
tpch-Q3,7,3,0.125,0.125,True,2,0.125,True
wikidata-WDpath,0,6,0.015625,0.015625,True,3,0.125,False
wikidata-WDpath,1,9,0.291015625,0.291015625,True,42,0.666016,False
wikidata-WDpath,2,1,0.5,0.5,True,2,0.5,True
wikidata-WDpath,3,5,0.03125,0.03125,True,3,0.125,False
wikidata-WDpath,4,1,0.5,0.5,True,2,0.5,True
wikidata-WDpath,5,1,0.5,0.5,True,2,0.5,True
wikidata-WDpath,6,6,0.015625,0.015625,True,3,0.25,False
wikidata-WDpath,7,2,0.25,0.25,True,2,0.25,True
wikidata-WDpath,8,6,0.109375,0.109375,True,17,0.109375,True
wikidata-WDpath,9,3,0.125,0.125,True,3,0.25,False
wikidata-WDpath,10,20,0.158024788,0.158024788,True,123,0.204473,False
wikidata-WDpath,11,4,0.4375,0.4375,True,12,0.4375,True
wikidata-WDpath,12,5,0.03125,0.03125,True,3,0.125,False
wikidata-WDpath,13,4,0.0625,0.0625,True,3,0.25,False
wikidata-WDpath,14,5,0.21875,0.21875,True,10,0.21875,True
wikidata-WDpath,15,1,0.5,0.5,True,2,0.5,True
