sweep,N,d,sources,overlap,answers,distinct_gates,t_circuit,t_flat,size_dedup,shared_ms,perans_ms,time_dedup
overlap2,300,4,2,0.0,600,3000,5400,5400,1.0,12.08,19.548,1.618
overlap2,300,4,2,0.25,600,2625,4725,5400,1.143,9.668,19.379,2.004
overlap2,300,4,2,0.5,600,2250,4050,5400,1.333,9.05,19.648,2.171
overlap2,300,4,2,0.75,600,1875,3375,5400,1.6,9.343,19.569,2.095
overlap2,300,4,2,1.0,600,1500,2700,5400,2.0,6.564,19.34,2.946
ksources,300,4,1,0.5,300,1500,2700,2700,1.0,5.561,9.999,1.798
ksources,300,4,2,0.5,600,2250,4050,5400,1.333,8.833,19.521,2.21
ksources,300,4,3,0.5,900,3000,5400,8100,1.5,12.748,31.281,2.454
ksources,300,4,4,0.5,1200,3750,6750,10800,1.6,15.191,39.499,2.6
ksources,300,4,5,0.5,1500,4500,8100,13500,1.667,19.268,51.67,2.682
ksources,300,4,6,0.5,1800,5250,9450,16200,1.714,22.008,58.441,2.655
