class,template,scale,answers,shared_pqe_ms,shared_size,perans_pqe_ms,perans_status,status
L,L1,10M,2,0.081,6,0.07,ok,ok
L,L2,10M,36,0.531,108,0.981,ok,ok
L,L3,10M,5,1.961,59,1.58,ok,ok
L,L4,10M,29,0.288,58,0.742,ok,ok
L,L5,10M,38,0.623,114,1.283,ok,ok
S,S1,10M,5,0.422,45,1.003,ok,ok
S,S2,10M,255,4.848,1020,8.295,ok,ok
S,S3,10M,128,6.488,1065,9.71,ok,ok
S,S4,10M,1,0.052,4,0.05,ok,ok
S,S5,10M,26,0.715,104,1.512,ok,ok
S,S6,10M,2,0.063,6,0.07,ok,ok
S,S7,10M,1,0.039,3,0.032,ok,ok
F,F1,10M,2,0.099,12,0.127,ok,ok
F,F2,10M,1,0.094,8,0.092,ok,ok
F,F3,10M,3,0.139,18,0.165,ok,ok
F,F4,10M,68,3.631,567,6.781,ok,ok
F,F5,10M,29,1.411,174,1.704,ok,ok
C,C1,10M,8,0.954,82,1.2,ok,ok
C,C2,10M,0,,,,,no-answers
C,C3,10M,,,,,,construct-too-large
O,O1,10M,51,0.609,106,,npcs-cannot-represent-nonmonotone,ok
O,O2,10M,63,1.301,161,,npcs-cannot-represent-nonmonotone,ok
O,O3,10M,308,2.601,366,,npcs-cannot-represent-nonmonotone,ok
O,O4,10M,783,7.768,1625,,npcs-cannot-represent-nonmonotone,ok
O,O5,10M,14,2.333,14,,npcs-cannot-represent-nonmonotone,ok
M,M1,10M,,,,,,construct-too-large
M,M2,10M,,,,,,construct-too-large
M,M3,10M,,,,,,construct-too-large
M,M4,10M,,,,,,construct-too-large
M,M5,10M,,,,,,construct-too-large
