class,template,scale,answers,shared_pqe_ms,shared_size,perans_pqe_ms,perans_status,status
L,L1,100M,4,0.11,12,0.13,ok,ok
L,L2,100M,961,11.286,2883,23.472,ok,ok
L,L3,100M,3,0.164,13,0.189,ok,ok
L,L4,100M,299,2.093,598,5.084,ok,ok
L,L5,100M,1310,17.201,3930,32.508,ok,ok
S,S1,100M,7,0.378,63,1.485,ok,ok
S,S2,100M,,,,,,construct-too-large
S,S3,100M,1346,78.954,11238,105.07,ok,ok
S,S4,100M,2,0.067,8,0.073,ok,ok
S,S5,100M,341,6.426,1364,11.58,ok,ok
S,S6,100M,13,0.18,39,0.311,ok,ok
S,S7,100M,2,0.052,6,0.057,ok,ok
F,F1,100M,11,0.344,66,0.877,ok,ok
F,F2,100M,13,0.808,104,1.047,ok,ok
F,F3,100M,19,1.03,114,0.946,ok,ok
F,F4,100M,103,5.111,869,10.281,ok,ok
F,F5,100M,38,1.657,228,2.092,ok,ok
C,C1,100M,91,10.635,956,14.391,ok,ok
C,C2,100M,22,2.022,199,2.651,ok,ok
C,C3,100M,,,,,,construct-too-large
O,O1,100M,7,0.112,14,,npcs-cannot-represent-nonmonotone,ok
O,O2,100M,,,,,,construct-too-large
O,O3,100M,3213,22.378,3811,,npcs-cannot-represent-nonmonotone,ok
O,O4,100M,,,,,,construct-too-large
O,O5,100M,,,,,,construct-too-large
M,M1,100M,,,,,,construct-too-large
M,M2,100M,,,,,,construct-too-large
M,M3,100M,,,,,,construct-too-large
M,M4,100M,,,,,,construct-too-large
M,M5,100M,,,,,,construct-too-large
