step	claims	exit	seconds	log
tests	V1	0	0	A_tests.log
differential	V1	0	5	A_differential.log
nonmono	V1	0	0	A_nonmono.log
gallery	V1,P1	1	13	A_gallery.log
engine_paths	V3,R5	0	4	A_engine_paths.log
composition	V1	0	28	A_composition.log
circuit_io	V1	0	0	A_circuit_io.log
g7_equiv	P3	0	5	A_g7_equiv.log
bench	C7	0	1	A_bench.log
unbound_ff	C8	0	6	A_unbound_ff.log
g2b_npcs	C1-C6	0	44	A_g2b_npcs.log
treewidth_ev	T3	0	0	A_treewidth_ev.log
paths_sweep	R3	0	392	A_paths_sweep.log
plan_identity	guard	0	27	A_plan_identity.log
mvn_test	guard	0	8	A_mvn_test.log
