suite,class,template,instance,query_file,query_sha256,scale,bound_policy,notes
watdiv-perf,L,L1,00,paper/queries/watdiv/10M/L/L1.rq,98fe99bb2a8bc2b3e41d8cc31e774d8a405b22eb745fbaefad8963b8e59922f4,10M,rebind Website10096 -> Website0 (min-IRI full-match),
watdiv-perf,L,L2,00,paper/queries/watdiv/10M/L/L2.rq,64873fb3e0533f5e97269a846ba7be46358d4ae4e7b00ae160b34130e60e4ce6,10M,rebind City121 -> City0 (min-IRI full-match),
watdiv-perf,L,L3,00,paper/queries/watdiv/10M/L/L3.rq,6e68c33e9b346995ea7cedfa79c5123b2290df112a813135a2d0753aa4f34a04,10M,rebind Website6472 -> Website0 (min-IRI full-match),
watdiv-perf,L,L4,00,paper/queries/watdiv/10M/L/L4.rq,6a5c40f28fc1efcf93f4f8de194ff48179bad43fdcace9ac6f264dd26c62dadf,10M,rebind Topic45 -> Topic0 (min-IRI full-match),
watdiv-perf,L,L5,00,paper/queries/watdiv/10M/L/L5.rq,2e23cd396e2dd8542fcd6dc9541c69d45cb250a36faed0467b475b4adcca3ac6,10M,rebind City199 -> City0 (min-IRI full-match),
watdiv-perf,S,S1,00,paper/queries/watdiv/10M/S/S1.rq,11a13df922fdbee8f9776eaed6af62ffda103b2b406da774b3f49300860168da,10M,rebind Retailer8811 -> Retailer0 (min-IRI full-match),
watdiv-perf,S,S2,00,paper/queries/watdiv/10M/S/S2.rq,e634c02fe199569fe27370dfeca74deef380542216b43766499daf6e48f0b7a5,10M,rebind Country21 -> Country0 (min-IRI full-match),
watdiv-perf,S,S3,00,paper/queries/watdiv/10M/S/S3.rq,4e26d57d8fea5cd20a5edd26b3e286c7e2287bf17d8cbb9b1567590a068ac8f4,10M,rebind ProductCategory4 -> ProductCategory4 (min-IRI full-match),
watdiv-perf,S,S4,00,paper/queries/watdiv/10M/S/S4.rq,be92ea13409cc5816a7820f5d9231cb1e43d4ea746a92a57b97ca2d3c79dc20c,10M,rebind AgeGroup4 -> AgeGroup1 (min-IRI full-match),
watdiv-perf,S,S5,00,paper/queries/watdiv/10M/S/S5.rq,691e7a0abcd7232efe06742dc0cffd6f1c1bb58adb1206c47f9a3c8bb38753fb,10M,rebind ProductCategory2 -> ProductCategory2 (min-IRI full-match),
watdiv-perf,S,S6,00,paper/queries/watdiv/10M/S/S6.rq,3a9de4be91a376d912945053f743c79042392d6a11ce089a2d71c37c156ec248,10M,rebind SubGenre134 -> SubGenre0 (min-IRI full-match),
watdiv-perf,S,S7,00,paper/queries/watdiv/10M/S/S7.rq,eed7ab40fbcb8013104c546e7347be93ee55756a01abd3e1bc1548f3401022e4,10M,rebind User818157 -> User100 (min-IRI full-match),
watdiv-perf,F,F1,00,paper/queries/watdiv/10M/F/F1.rq,ea28abd7edab939c7b50a1796279891f1fac09bdf37f31eb5fdf3df64891eaf4,10M,rebind Topic245 -> Topic10 (min-IRI full-match),
watdiv-perf,F,F2,00,paper/queries/watdiv/10M/F/F2.rq,a2d067af87788371d0895c53af5536df3cc59090adda8fe35f6c9b1491962642,10M,rebind SubGenre79 -> SubGenre0 (min-IRI full-match),
watdiv-perf,F,F3,00,paper/queries/watdiv/10M/F/F3.rq,ab4a33937e9d2bc9b501268b85f184fcbc070f1c35d8b6f2a148df9d906de693,10M,rebind SubGenre73 -> SubGenre0 (min-IRI full-match),
watdiv-perf,F,F4,00,paper/queries/watdiv/10M/F/F4.rq,95e319658ada1f90ea7900df6e9a7608f72e06ecb2da9d8ad67afe7db54c5464,10M,rebind Topic232 -> Topic0 (min-IRI full-match),
watdiv-perf,F,F5,00,paper/queries/watdiv/10M/F/F5.rq,5ca90afb3951e0444bf3024c77058dedfd92664870dc85d282ed837b0894ed6f,10M,rebind Retailer222 -> Retailer0 (min-IRI full-match),
