family,name,n_tokens,tw,deriv,status,secs,factored_gates,obdd_size,ddnnf_nodes,cnf_vars,d4_wmc,expected,match,rss_mib,rss_d4_mib
chain_tw1,chain-4,4,1,1,ok,1.0,9,4,2,7,0.1514,0.1514,True,15,34
chain_tw1,chain-8,8,1,1,ok,1.0,17,8,2,15,0.003285,0.003285,True,15,34
chain_tw1,chain-16,16,1,1,ok,1.0,33,16,2,31,2.4e-05,2.4e-05,True,15,34
chain_tw1,chain-32,32,1,1,ok,1.0,65,32,2,63,0.0,0.0,True,15,34
chain_tw1,chain-64,64,1,1,ok,1.1,129,64,2,127,0.0,0.0,True,16,34
chain_tw1,chain-128,128,1,1,ok,1.1,257,128,2,255,0.0,0.0,True,18,34
chain_tw1,chain-256,256,1,1,ok,1.6,513,256,2,511,0.0,0.0,True,29,34
chain_tw1,chain-512,512,1,1,ok,4.4,1025,512,2,1023,0.0,0.0,True,73,71
bounded_tw2,layered-d2-w2,6,2,2,ok,1.0,14,4,6,7,0.455095,0.455095,True,15,34
bounded_tw2,layered-d4-w2,14,2,8,ok,1.0,34,48,39,27,0.267132,0.267132,True,15,28
bounded_tw2,layered-d8-w2,30,2,128,ok,1.1,74,492,166,67,0.302946,0.302946,True,16,28
bounded_tw2,layered-d16-w2,62,2,32768,ok,1.3,154,13359,656,147,0.157074,0.157074,True,49,28
bounded_tw2,layered-d24-w2,94,2,8388608,ok,4.5,234,107525,1317,227,0.061677,0.061677,True,351,28
bounded_tw2,layered-d32-w2,126,2,2147483648,ok,45.8,314,1146926,2076,307,0.064275,0.064275,True,4242,28
bounded_tw2,layered-d48-w2,190,2,140737488355328,obdd-timeout,124.1,474,,3221,467,0.012118,,,,29
bounded_tw2,layered-d64-w2,254,2,9223372036854775808,OOM-obdd,96.7,634,,5207,627,0.00189,,,,29
bounded_tw3,layered-d2-w3,12,3,3,ok,1.0,26,6,11,10,0.554701,0.554701,True,15,34
bounded_tw3,layered-d3-w3,21,3,9,ok,1.0,47,61,120,31,0.704846,0.704846,True,15,28
bounded_tw3,layered-d4-w3,30,3,27,ok,1.1,68,213,257,52,0.834299,0.834299,True,15,28
bounded_tw3,layered-d6-w3,48,3,243,ok,1.1,110,1098,901,94,0.910026,0.910026,True,18,28
bounded_tw3,layered-d8-w3,66,3,2187,ok,1.2,152,3798,2273,136,0.720792,0.720792,True,32,28
bounded_tw3,layered-d10-w3,84,3,19683,ok,1.5,194,10749,4635,178,0.790758,0.790758,True,56,28
bounded_tw3,layered-d12-w3,102,3,177147,ok,2.4,236,32788,8113,220,0.765315,0.765315,True,153,29
growing_tw_layer,layered-d4-w2,14,2,8,ok,1.0,34,48,39,27,0.267132,0.267132,True,15,28
growing_tw_layer,layered-d4-w3,30,3,27,ok,1.1,68,213,257,52,0.834299,0.834299,True,15,28
growing_tw_layer,layered-d4-w4,52,4,64,ok,1.1,114,1274,1146,85,0.956104,0.956104,True,18,28
growing_tw_layer,layered-d4-w5,80,5,125,ok,1.2,172,4508,3465,126,0.981656,0.981656,True,26,28
growing_tw_layer,layered-d4-w6,114,6,216,ok,1.8,242,20041,11746,175,0.99295,0.99295,True,90,30
growing_tw_layer,layered-d4-w7,154,7,343,ok,5.6,324,100823,55215,232,0.999285,0.999285,True,384,37
growing_tw_layer,layered-d4-w8,200,8,512,ok,24.7,418,443485,206701,297,0.998144,0.998144,True,1991,65
growing_tw_grid,grid-2,4,2,"C(2(k-1),k-1)",ok,1.0,9,4,6,7,0.461925,0.461925,True,15,34
growing_tw_grid,grid-3,12,3,"C(2(k-1),k-1)",ok,1.0,28,33,38,26,0.29119,0.29119,True,15,28
growing_tw_grid,grid-4,24,4,"C(2(k-1),k-1)",ok,1.0,57,144,194,55,0.4913,0.4913,True,15,28
growing_tw_grid,grid-5,40,5,"C(2(k-1),k-1)",ok,1.1,96,2005,1179,94,0.354627,0.354627,True,17,28
growing_tw_grid,grid-6,60,6,"C(2(k-1),k-1)",ok,1.2,145,14288,3169,143,0.362324,0.362324,True,26,28
