category,query,status,plan,build_ms,deriv,gates,edges,answers,share,wmc_pwe
single,single/01,too-large,,,,,,,,
single,single/02,ok,1,7,8,16,16,8,0.75,2.2e-16
single,single/03,ok,1,51,623,1246,1246,623,0.75,
single,single/04,ok,1,29419,388866,777707,777732,388841,0.75,
single,single/05,ok,1,4401,57928,115855,115856,57927,0.75,
single,single/06,ok,1,2810,37125,74249,74250,37124,0.75,
single,single/07,too-large,,,,,,,,
single,single/08,ok,1,29352,388866,777704,777732,388838,0.75,
single,single/09,ok,1,122,1666,3332,3332,1666,0.75,
single,single/10,too-large,,,,,,,,
single,single/11,ok,1,4,0,0,0,0,0,
single,single/12,ok,1,19,203,306,406,103,0.855,
single,single/13,ok,1,136,2289,2381,4578,92,0.987,
single,single/14,ok,1,54,684,1368,1368,684,0.75,
single,single/15,ok,1,210,2605,5210,5210,2605,0.75,
single,single/16,ok,1,40,479,958,958,479,0.75,
single,single/17,ok,1,6,22,44,44,22,0.75,
single,single/18,ok,1,5,0,0,0,0,0,
single,single/19,ok,1,20,214,428,428,214,0.75,
single,single/20,too-large,,,,,,,,
single,single/21,ok,1,56,718,1436,1436,718,0.75,
single,single/22,ok,1,5,0,0,0,0,0,
single,single/23,ok,1,250,3359,6710,6718,3351,0.75,
single,single/24,too-large,,,,,,,,
single,single/25,ok,1,50675,772812,1026864,1545551,254052,0.901,
single,single/26,too-large,,,,,,,,
single,single/27,too-large,,,,,,,,
single,single/28,err:MemoryError,,,,,,,,
single,single/29,ok,1,9,20,40,40,20,0.75,
single,single/30,ok,1,62691,762014,1523015,1524026,761001,0.75,
single,single/31,ok,1,14,82,164,164,82,0.75,
single,single/32,ok,1,12,62,124,124,62,0.75,
single,single/33,ok,1,9,39,78,78,39,0.75,
single,single/34,ok,1,26,196,392,392,196,0.75,
single,single/35,ok,1,28,180,360,360,180,0.75,
single,single/36,ok,1,14,91,182,182,91,0.75,
single,single/37,ok,1,8,17,34,34,17,0.75,
single,single/38,ok,1,58747,675854,1351661,1351708,675807,0.75,
single,single/39,ok,1,3702,41798,83595,83596,41797,0.75,
single,single/40,too-large,,,,,,,,
single,single/41,too-large,,,,,,,,
