scale,scheme,shape,mode,source,build_ms,times,plus,minus,gates,answers,circuit_triples,circuit_sha256,repo_isolated
10M,Standard,S-star,flat,User10113,121,252,2,0,254,2,1270,5c2328079db98b366b177d4f96e84a5f0d5d073562f26d93b6ff1bd95306b1ac,True
10M,Standard,S-star,factored,User10113,440,4,29,0,33,2,99,21fd5607c90bfdbb5c8cc675faaea9760f59a84c6af615a545f882ebaa684333,True
10M,SPARQL_Star,S-star,flat,User10113,110,252,2,0,254,2,1270,5c2328079db98b366b177d4f96e84a5f0d5d073562f26d93b6ff1bd95306b1ac,True
10M,SPARQL_Star,S-star,factored,User10113,431,4,29,0,33,2,99,21fd5607c90bfdbb5c8cc675faaea9760f59a84c6af615a545f882ebaa684333,True
10M,Standard,L-path,flat,User30816,104,45,45,0,90,45,585,b92a7dd31b6208002c6ae55b8908a7c5e1dc40e2254d4ccdce60a0cdd373a4fa,True
10M,Standard,L-path,factored,User30816,185677,58,299704,0,299762,45,599898,68475b9ae2c680fd4bed59b9113c613995ba44cf862d8f823de91da53b5e3574,True
10M,SPARQL_Star,L-path,flat,User30816,103,45,45,0,90,45,585,b92a7dd31b6208002c6ae55b8908a7c5e1dc40e2254d4ccdce60a0cdd373a4fa,True
10M,SPARQL_Star,L-path,factored,User30816,182439,58,299704,0,299762,45,599898,68475b9ae2c680fd4bed59b9113c613995ba44cf862d8f823de91da53b5e3574,True
10M,Standard,F-snow,flat,User6085,67,6,1,0,7,1,41,7dbc20827409a6db89cc5b04ec350462fa4fb7dbb2d481a399bffc60318be49a,True
10M,Standard,F-snow,factored,User6085,205644,11,309814,0,309825,1,764140,d7b62eef020f917d33130fbb4aad5cc083338fde5895592803b237a95cfef02b,True
10M,SPARQL_Star,F-snow,flat,User6085,63,6,1,0,7,1,41,7dbc20827409a6db89cc5b04ec350462fa4fb7dbb2d481a399bffc60318be49a,True
10M,SPARQL_Star,F-snow,factored,User6085,204626,11,309814,0,309825,1,764140,d7b62eef020f917d33130fbb4aad5cc083338fde5895592803b237a95cfef02b,True
10M,Standard,M-minus,flat,User10003,127,2,6,2,10,2,28,9acfefc61e9eea2aff160b3ad818419f52afd7e7496272b89c7a4019b271013d,True
10M,Standard,M-minus,factored,User10003,127,2,6,2,10,2,28,9acfefc61e9eea2aff160b3ad818419f52afd7e7496272b89c7a4019b271013d,True
10M,SPARQL_Star,M-minus,flat,User10003,78,2,6,2,10,2,28,9acfefc61e9eea2aff160b3ad818419f52afd7e7496272b89c7a4019b271013d,True
10M,SPARQL_Star,M-minus,factored,User10003,78,2,6,2,10,2,28,9acfefc61e9eea2aff160b3ad818419f52afd7e7496272b89c7a4019b271013d,True
100M,Standard,S-star,flat,User100091,389,855,19,0,874,19,4370,678c4b64619234887278b1b685e607dde5a50fb1904889740948d4037dd70ba3,True
100M,Standard,S-star,factored,User100091,496,38,54,0,92,19,310,8804818a26653f740fefe0f2d1a4bb22b2cdb8405142ae18b2a594fc39dd9bab,True
100M,SPARQL_Star,S-star,flat,User100091,171,855,19,0,874,19,4370,678c4b64619234887278b1b685e607dde5a50fb1904889740948d4037dd70ba3,True
100M,SPARQL_Star,S-star,factored,User100091,488,38,54,0,92,19,310,8804818a26653f740fefe0f2d1a4bb22b2cdb8405142ae18b2a594fc39dd9bab,True
100M,Standard,L-path,flat,User734368,128,79,79,0,158,79,1027,90f85f3251a510c0ab53dbc3de377c9f59a6a47aa34d594601909f6de0779c1b,True
100M,Standard,L-path,factored,User734368,,,,,,,,too-large:timeout,True
100M,SPARQL_Star,L-path,flat,User734368,115,79,79,0,158,79,1027,90f85f3251a510c0ab53dbc3de377c9f59a6a47aa34d594601909f6de0779c1b,True
100M,SPARQL_Star,L-path,factored,User734368,,,,,,,,too-large:timeout,True
100M,Standard,F-snow,flat,User651296,77,25,1,0,26,1,155,a14393407258a897fdc8efe553cf48a8c29b213b349dc3e4ddc002f0e595182b,True
100M,Standard,F-snow,factored,User651296,,,,,,,,too-large:timeout,True
100M,SPARQL_Star,F-snow,flat,User651296,80,25,1,0,26,1,155,a14393407258a897fdc8efe553cf48a8c29b213b349dc3e4ddc002f0e595182b,True
100M,SPARQL_Star,F-snow,factored,User651296,,,,,,,,too-large:timeout,True
100M,Standard,M-minus,flat,User100000,2592,3,9,3,15,3,42,3fbe686693472f3aed0f560aff5f2fe866cf12c5f62bd1827f6855d87b4dccbe,True
100M,Standard,M-minus,factored,User100000,213,3,9,3,15,3,42,3fbe686693472f3aed0f560aff5f2fe866cf12c5f62bd1827f6855d87b4dccbe,True
100M,SPARQL_Star,M-minus,flat,User100000,83,3,9,3,15,3,42,3fbe686693472f3aed0f560aff5f2fe866cf12c5f62bd1827f6855d87b4dccbe,True
100M,SPARQL_Star,M-minus,factored,User100000,78,3,9,3,15,3,42,3fbe686693472f3aed0f560aff5f2fe866cf12c5f62bd1827f6855d87b4dccbe,True
